generation,haplotype_diversity,shannon_index
0,1.0,5.1298987149230735
1,0.9949985911524373,4.627349270138097
2,0.9890814313891236,4.25016093018394
3,0.9866863905325444,4.117828623390496
4,0.9855593124823894,4.074851945061557
5,0.9837982530290222,4.0314629547914596
6,0.9838686954071569,3.9978264679203352
7,0.9841504649196956,3.993223972932402
8,0.9827416173570019,3.9690904661695994
9,0.9836573682727529,3.985021047718675
10,0.9849253310791771,4.034037958996979
11,0.9770357847280924,3.7737724829441817
12,0.9754156100309946,3.8154574208617826
13,0.9770357847280924,3.791152292579826
14,0.9767540152155536,3.79884035323609
15,0.9783037475345168,3.8855661161671455
16,0.9820371935756551,3.979542003844248
17,0.9819667511975204,3.990947019052635
18,0.9805579036348266,3.973723384177313
19,0.9777402085094393,3.8424989786820962
20,0.974429416737109,3.7831675357299246
21,0.978021978021978,3.8272380319159294
22,0.9785855170470555,3.9130330616986213
23,0.9831642716258101,3.9884977665876558
24,0.9801352493660186,3.9101980172015645
25,0.9823894054663285,4.002560988748337
26,0.98541842772612,4.060514094026556
27,0.9821076359537898,3.923722572345488
28,0.981403212172443,3.961391828319154
29,0.9835164835164836,3.996938664773601
30,0.9771062271062271,3.8615646352444117
31,0.971963933502395,3.7276517515903884
32,0.9730205691744153,3.791844477100419
33,0.9720343758805298,3.7526496400484923
34,0.975767821921668,3.778767721129777
35,0.9756973795435334,3.788643639827369
36,0.9778810932657087,3.818863485183048
37,0.9762609185686109,3.813235564174841
38,0.9781628627782474,3.8175053933186462
39,0.9804874612566921,3.9363494610796144
40,0.9809101155255001,3.9473115189998658
41,0.979149056072133,3.9046697692259777
42,0.980698788391096,3.935714400597873
43,0.9846435615666385,4.0517785400307
44,0.9811918850380389,3.9557814356707146
45,0.9796421527190757,3.878459948587466
46,0.9805579036348266,3.9066288817092993
47,0.9833755987602142,4.030217320023632
48,0.9800648069878839,3.911645992566523
49,0.9839391377852916,4.023254432544261
